,stock,description,tokenized_description
735,银轮股份,"['热', '管理', '新', '定点', '突破', '中期', '盈利', '展望', '乐观']","['热', '管理', '新', '定点', '突破', '中期', '盈利', '展望', '乐观']"
736,行动教育,"['股权', '激励', '彰显', '信心', '一核', '两翼', '助力', '成长']","['股权', '激励', '彰显', '信心', '一核', '两翼', '助力', '成长']"
737,联瑞新材,"['硅微粉', '隐形', '冠军', '迈向', '电子', '材料', '的', '广阔', '天空']","['硅微粉', '隐形', '冠军', '迈向', '电子', '材料', '的', '广阔', '天空']"
738,比音勒芬,"['逆境', '下', '增长', '好于', '行业', '看好', '业绩', '韧性']","['逆境', '下', '增长', '好于', '行业', '看好', '业绩', '韧性']"
739,中国巨石,"['2022Q2', '扣非', '净利润', '保持', '韧性', '产品', '结构', '持续', '优化']","['2022Q2', '扣非', '净利润', '保持', '韧性', '产品', '结构', '持续', '优化']"
740,银轮股份,"['新', '势力', '定点', '再', '获', '突破', '新能源', '客户', '布局', '趋于', '完善', '—', '—', '公司', '信息', '更新', '报告']","['新', '势力', '定点', '再', '获', '突破', '新能源', '客户', '布局', '趋于', '完善', '—', '—', '公司', '信息', '更新', '报告']"
741,丽珠集团,"['V', '－', '01', '及', '二价', '苗序贯', '加强', 'IIT', '临床', '数据', '发表', '强效', '中', '和', '变异', '株']","['V', '－', '01', '及', '二价', '苗序贯', '加强', 'IIT', '临床', '数据', '发表', '强效', '中', '和', '变异', '株']"
742,益丰药房,"['收购', '唐山', '德顺', '堂', '拓张', '华北', '区域', '市场']","['收购', '唐山', '德顺', '堂', '拓张', '华北', '区域', '市场']"
743,苏泊尔公,"['外销', '客户', '去', '库存', '致', '22Q2', '收入', '下滑', '盈利', '能力', '提升', '显著']","['外销', '客户', '去', '库存', '致', '22Q2', '收入', '下滑', '盈利', '能力', '提升', '显著']"
744,江山欧派,"['短期', '盈利', '调整', '款清', '业务', '占', '比', '提升']","['短期', '盈利', '调整', '款清', '业务', '占', '比', '提升']"
745,移为通信,"['Q2', '毛利率', '环比', '改善', '在手', '订单', '丰沛']","['Q2', '毛利率', '环比', '改善', '在手', '订单', '丰沛']"
746,华熙生物,"['化妆品', '业务', '逆势', '增长', '整体', '业绩', '增长', '超', '市场', '预期']","['化妆品', '业务', '逆势', '增长', '整体', '业绩', '增长', '超', '市场', '预期']"
747,华熙生物,"['预告', '22Q2', '扣非', '归母', '净利', 'yoy', '＋', '36.41', '％', '超', '预期', '功能性', '护肤', '板块', '持续', '验证', '市场', '转化', '及', '盈利', '能力']","['预告', '22Q2', '扣非', '归母', '净利', 'yoy', '＋', '36.41', '％', '超', '预期', '功能性', '护肤', '板块', '持续', '验证', '市场', '转化', '及', '盈利', '能力']"
748,珀莱雅2,"['618', '多渠道', '国货', '第一', '业绩', '兑现', '力强']","['618', '多渠道', '国货', '第一', '业绩', '兑现', '力强']"
749,银轮股份,"['新能源', '产品', '定点', '突破', '电动车', '领域', '布局', '加速']","['新能源', '产品', '定点', '突破', '电动车', '领域', '布局', '加速']"
750,汉钟精机,"['业绩', '超', '预期', '真空泵', '需求', '持续', '放量']","['业绩', '超', '预期', '真空泵', '需求', '持续', '放量']"
751,中联重科,"['拟', '最高', '40', '亿', '大手笔', '回购', '提振', '市场', '信心', '看好', '下半年', '行业', '拐点', '转正']","['拟', '最高', '40', '亿', '大手笔', '回购', '提振', '市场', '信心', '看好', '下半年', '行业', '拐点', '转正']"
752,移为通信,"['毛利率', '净', '利率', '环比', '改善', '在手', '订单', '达', '5.8', '亿元']","['毛利率', '净', '利率', '环比', '改善', '在手', '订单', '达', '5.8', '亿元']"
753,华大九天,"['本土', 'EDA', '巨头', '正在', '崛起', '（', '“', '智', '”', '造', 'TMT', '系列', '之', '二十', '暨', 'EDA', '系列', '之三', '）']","['本土', 'EDA', '巨头', '正在', '崛起', '（', '“', '智', '”', '造', 'TMT', '系列', '之', '二十', '暨', 'EDA', '系列', '之三', '）']"
754,海优新材,"['22Q2', '盈利', '修复', '出货', '持续', '高增']","['22Q2', '盈利', '修复', '出货', '持续', '高增']"
755,江阴银行,"['营收', '增速', '近', '30', '％', '资产', '质地', '优异']","['营收', '增速', '近', '30', '％', '资产', '质地', '优异']"
756,厦门银行,"['营收', '维持', '高增', '资产', '质量', '优异']","['营收', '维持', '高增', '资产', '质量', '优异']"
757,中国中铁,"['基建', '主业', '破浪', '立', '潮头', '第二', '曲线', '扬帆', '正', '当时']","['基建', '主业', '破浪', '立', '潮头', '第二', '曲线', '扬帆', '正', '当时']"
758,桃李面包,"['Q2', '原材料', '价格', '压力', '较大', '静待', '成本', '改善']","['Q2', '原材料', '价格', '压力', '较大', '静待', '成本', '改善']"
759,鼎胜新材,"['定增', '扩产', '电池', '箔', '放量', '可', '期']","['定增', '扩产', '电池', '箔', '放量', '可', '期']"
760,三友医疗,"['骨科', '创新', '践', '行者', '多项', '因素', '共振', '公司', '迎来', '发展', '新', '机会']","['骨科', '创新', '践', '行者', '多项', '因素', '共振', '公司', '迎来', '发展', '新', '机会']"
761,华熙生物,"['功能性', '护肤品', '延续', '高增', '医疗', '终端', '业务', '有望', '边际', '改善']","['功能性', '护肤品', '延续', '高增', '医疗', '终端', '业务', '有望', '边际', '改善']"
762,山东药玻,"['股权', '划转', '终止', '内生', '成长', '稳步', '推进']","['股权', '划转', '终止', '内生', '成长', '稳步', '推进']"
763,中国电建,"['6', '月', '订单', '高', '基数', '下', '实现', '高增', '彰稳', '增长', '实效']","['6', '月', '订单', '高', '基数', '下', '实现', '高增', '彰稳', '增长', '实效']"
764,苏泊尔2,"['内销', '稳健', '外销', '观望', '，', '盈利', '改善']","['内销', '稳健', '外销', '观望', '，', '盈利', '改善']"
765,星期六深,"['直播', '电商', '绝对', '头部', '主播', '星光', '映照', '供应链', '护城河']","['直播', '电商', '绝对', '头部', '主播', '星光', '映照', '供应链', '护城河']"
766,硅宝科技,"['下游', '行业', '快速', '发展', '锂电', '领域', '逐步', '布局']","['下游', '行业', '快速', '发展', '锂电', '领域', '逐步', '布局']"
767,天孚通信,"['全球', 'IDC', '建设', '需求', '旺盛', '看好', '全年', '业绩']","['全球', 'IDC', '建设', '需求', '旺盛', '看好', '全年', '业绩']"
768,水羊股份,"['入主', '国际', '高端', '护肤品', '牌', '品牌', '资产', '更上一层楼']","['入主', '国际', '高端', '护肤品', '牌', '品牌', '资产', '更上一层楼']"
769,信测标准,"['聚焦', '汽车', 'DV', '／', 'PV', '认证', '受益', '于', '电动', '智能化', '浪潮']","['聚焦', '汽车', 'DV', '／', 'PV', '认证', '受益', '于', '电动', '智能化', '浪潮']"
770,格林美,"['回收', '龙头', '化繁为简', '前驱', '体', '进入', '发展', '快车道']","['回收', '龙头', '化繁为简', '前驱', '体', '进入', '发展', '快车道']"
771,钧达股份,"['电池', '片', '盈利', '超', '预期', 'TOPCon', '新', '产能', '逐步', '开始', '贡献']","['电池', '片', '盈利', '超', '预期', 'TOPCon', '新', '产能', '逐步', '开始', '贡献']"
772,Univ,"['2Q22', '_', 'net', '_', 'profit', '_', 'beat', '_', 'forecasts', 'profit', '_', 'margin', '_', 'on', '_', 'the', '_', 'rise']","['2Q22', '_', 'net', '_', 'profit', '_', 'beat', '_', 'forecasts', 'profit', '_', 'margin', '_', 'on', '_', 'the', '_', 'rise']"
773,Wuxi,"['Smart', '_', 'mining', '_', 'monetization', '_', 'in', '_', 'place', 'robust', '_', 'prospects', '_', 'ahead']","['Smart', '_', 'mining', '_', 'monetization', '_', 'in', '_', 'place', 'robust', '_', 'prospects', '_', 'ahead']"
774,Jing,"['Sales', '_', 'volume', '_', 'and', '_', 'tariff', '_', 'of', '_', 'thermal', '_', 'power', '_', 'rose', 'earnings', '_', 'to', '_', 'improve']","['Sales', '_', 'volume', '_', 'and', '_', 'tariff', '_', 'of', '_', 'thermal', '_', 'power', '_', 'rose', 'earnings', '_', 'to', '_', 'improve']"
775,中际联合,"['风电', '需求', '旺盛', '平台', '化', '持续', '拓展', '，', '高空', '安全设备', '龙头', '优势', '凸显']","['风电', '需求', '旺盛', '平台', '化', '持续', '拓展', '，', '高空', '安全设备', '龙头', '优势', '凸显']"
776,华海清科,"['国产', 'CMP', '设备', '龙头', '成长', '动力', '充足', '—', '—', '公司', '首次', '覆盖', '报告']","['国产', 'CMP', '设备', '龙头', '成长', '动力', '充足', '—', '—', '公司', '首次', '覆盖', '报告']"
777,油价短期,"['能源', '化工行业', '周', '观点']","['能源', '化工行业', '周', '观点']"
778,深科技,"['业绩', '预告', '高', '增长', '看好', '存储', '半导体', '封测', '产能', '提升']","['业绩', '预告', '高', '增长', '看好', '存储', '半导体', '封测', '产能', '提升']"
779,顺丰控股,"['Q2', '扣非', '业绩', '超', '预期', '经营', '发展', '稳中', '向', '好']","['Q2', '扣非', '业绩', '超', '预期', '经营', '发展', '稳中', '向', '好']"
780,中国电建,"['新', '签合同', '提速', '水利', '能源', '投资', '受益']","['新', '签合同', '提速', '水利', '能源', '投资', '受益']"
781,聚光科技,"['22', '年', '员工', '持股', '计划', '发布', '全力', '转型', '高端', '业务']","['22', '年', '员工', '持股', '计划', '发布', '全力', '转型', '高端', '业务']"
782,北鼎股份,"['疫情', '影响', '营收', '稳增', '费用', '刚性', '短期', '承压']","['疫情', '影响', '营收', '稳增', '费用', '刚性', '短期', '承压']"
783,郑煤机,"['拟', '参股', '布局', '高端', '轴承', '新能源', '驱动', '电机', '进展', '顺利']","['拟', '参股', '布局', '高端', '轴承', '新能源', '驱动', '电机', '进展', '顺利']"
784,福能股份,"['装机', '扩张', '拉动', '海风', '高增', '稳健', '火电', '彰显', '资产', '优质']","['装机', '扩张', '拉动', '海风', '高增', '稳健', '火电', '彰显', '资产', '优质']"
785,亚辉龙,"['助力', '海内外', '抗疫', '半年', '业绩', '亮眼']","['助力', '海内外', '抗疫', '半年', '业绩', '亮眼']"
786,万业企业,"['嘉芯', '闳', '扬', '中标', '积塔', '热处理', '设备', '“', '万芯', '集团', '”', '平台', '化再', '上', '一阶']","['嘉芯', '闳', '扬', '中标', '积塔', '热处理', '设备', '“', '万芯', '集团', '”', '平台', '化再', '上', '一阶']"
787,华熙生物,"['功能性', '护肤品', '持续', '放量', '上半年', '营收', '快速增长']","['功能性', '护肤品', '持续', '放量', '上半年', '营收', '快速增长']"
788,华大九天,"['EDA', '国产', '之巅', '唯一', '国家队', '十年', '造梦', '全球', '龙头']","['EDA', '国产', '之巅', '唯一', '国家队', '十年', '造梦', '全球', '龙头']"
789,恒生电子,"['扎根', '金融', 'IT', '内外', '兼修', '不断', '突破']","['扎根', '金融', 'IT', '内外', '兼修', '不断', '突破']"
790,新洁能,"['受益', '功率', '器件', '国产化', '加速', '产品', '结构', '升级', '带来', '新', '成长', '空间']","['受益', '功率', '器件', '国产化', '加速', '产品', '结构', '升级', '带来', '新', '成长', '空间']"
791,亚辉龙,"['新冠', '助力', '归母', '净利润', '实现', '652', '％', '高速', '增长', '研发', '加码', '自', '产', '业务', '成长', '可', '期']","['新冠', '助力', '归母', '净利润', '实现', '652', '％', '高速', '增长', '研发', '加码', '自', '产', '业务', '成长', '可', '期']"
792,Star,"['New', '_', 'energy', '_', 'business', '_', 'ramps', '_', 'up', '；', '2Q22', '_', 'results', '_', 'beat', '_', 'expectations']","['New', '_', 'energy', '_', 'business', '_', 'ramps', '_', 'up', '；', '2Q22', '_', 'results', '_', 'beat', '_', 'expectations']"
793,用友网络,"['云', '转型', '助力', '大', '客户', '市场', '突破', '平台', '化', '生态', '造就', '第二', '成长', '曲线']","['云', '转型', '助力', '大', '客户', '市场', '突破', '平台', '化', '生态', '造就', '第二', '成长', '曲线']"
794,康龙化成,"['短期', '业绩', '波动', '看好', '长期', '景气', '度']","['短期', '业绩', '波动', '看好', '长期', '景气', '度']"
795,保利发展,"['业绩', '略超', '预期', '逆市', '凸显', '央企', '价值']","['业绩', '略超', '预期', '逆市', '凸显', '央企', '价值']"
796,利民股份,"['成本', '上涨', '业绩', '承压', '期待', '新', '产能', '陆续', '落地']","['成本', '上涨', '业绩', '承压', '期待', '新', '产能', '陆续', '落地']"
797,格力电器,"['渠道', '改革', '初见成效', '多元', '布局', '着力', '景气', '赛道']","['渠道', '改革', '初见成效', '多元', '布局', '着力', '景气', '赛道']"
798,天成自控,"['格局', '有望', '重塑', '国产', '乘用车', '座椅', '龙头', '进入', '放量', '期']","['格局', '有望', '重塑', '国产', '乘用车', '座椅', '龙头', '进入', '放量', '期']"
799,益丰药房,"['拟', '收购', '德顺', '堂', '85', '家', '门店', '持续', '夯实', '华北', '区域', '市场', '地位', '—', '—', '公司', '信息', '更新', '报告']","['拟', '收购', '德顺', '堂', '85', '家', '门店', '持续', '夯实', '华北', '区域', '市场', '地位', '—', '—', '公司', '信息', '更新', '报告']"
800,天孚通信,"['H1', '业绩', '超', '预期', '环比', '稳步', '向上', '，', '高速', '光', '引擎', '与', '激光雷达', '有望', '持续', '放量']","['H1', '业绩', '超', '预期', '环比', '稳步', '向上', '，', '高速', '光', '引擎', '与', '激光雷达', '有望', '持续', '放量']"
801,郑煤机,"['拟', '出资', '3.87', '亿元', '参与', '洛轴', '公司', '混改', '培育', '新', '的', '利润', '增长点']","['拟', '出资', '3.87', '亿元', '参与', '洛轴', '公司', '混改', '培育', '新', '的', '利润', '增长点']"
802,聚光科技,"['员工', '持股', '计划', '草案', '出台', '国产', '仪器', '龙头', '整装', '启航']","['员工', '持股', '计划', '草案', '出台', '国产', '仪器', '龙头', '整装', '启航']"
803,中国平安,"['曙光', '初破水', '改革', '始见', '微']","['曙光', '初破水', '改革', '始见', '微']"
804,卫星化学,"['原料', '轻质', '成', '趋势', '轻经', '龙头', '迎', '重估']","['原料', '轻质', '成', '趋势', '轻经', '龙头', '迎', '重估']"
805,洛阳玻璃,"['光伏', '玻璃', '产能', '加速', '释放', '新能源', '业务', '转型', '顺势', '崛起']","['光伏', '玻璃', '产能', '加速', '释放', '新能源', '业务', '转型', '顺势', '崛起']"
806,铖昌科技,"['军品', '民品', '共振', '射频', '芯片', '新锐', '份额', '进击', '在', '即']","['军品', '民品', '共振', '射频', '芯片', '新锐', '份额', '进击', '在', '即']"
807,苏泊尔,"['Q2', '外需', '有所', '承压', '内销', '表现', '稳健']","['Q2', '外需', '有所', '承压', '内销', '表现', '稳健']"
808,光威复材,"['22Q2', '业绩', '显著', '修复', '中长期', '向上', '拐点', '已现']","['22Q2', '业绩', '显著', '修复', '中长期', '向上', '拐点', '已现']"
809,经纬恒润,"['智能', '汽车', '大', '时代', '冉冉升起', '的', '“', '全能', '新星', '”']","['智能', '汽车', '大', '时代', '冉冉升起', '的', '“', '全能', '新星', '”']"
810,楚江新材,"['铜基', '龙头', '帆正扬', '碳基', '新星', '已', '登场']","['铜基', '龙头', '帆正扬', '碳基', '新星', '已', '登场']"
811,滨江集团,"['上半年', '盈利', '料', '维持', '平稳', '持续', '逆势', '高质量', '拓储']","['上半年', '盈利', '料', '维持', '平稳', '持续', '逆势', '高质量', '拓储']"
812,天孚通信,"['业绩', '好于', '市场', '预期', '下半年', '有望', '实现', '加速', '增长']","['业绩', '好于', '市场', '预期', '下半年', '有望', '实现', '加速', '增长']"
813,移为通信,"['盈利', '能力', '有效', '改善', '看好', '下半年', '业绩', '释放']","['盈利', '能力', '有效', '改善', '看好', '下半年', '业绩', '释放']"
814,万业企业,"['旗下', '快速', '热处理', '设备', '中标', '上海', '积塔', '招标', '半导体', '设备', '产品', '矩阵', '再', '扩展']","['旗下', '快速', '热处理', '设备', '中标', '上海', '积塔', '招标', '半导体', '设备', '产品', '矩阵', '再', '扩展']"
815,广联航空,"['航空', '工装', '和', '零部件', '核心', '配套', '商', '内生', '和', '外延', '并举', '助力', '高速', '发展']","['航空', '工装', '和', '零部件', '核心', '配套', '商', '内生', '和', '外延', '并举', '助力', '高速', '发展']"
816,郑煤机公,"['拟', '参与', '受让', '洛轴', '股权', '转型', '战略', '新兴', '业务', '迈开', '步伐']","['拟', '参与', '受让', '洛轴', '股权', '转型', '战略', '新兴', '业务', '迈开', '步伐']"
817,成都银行,"['价值', '再', '思考']","['价值', '再', '思考']"
818,江山欧派,"['渠道', '转型', '快速', '推进', '盈利', '能力', '阶段性', '调整']","['渠道', '转型', '快速', '推进', '盈利', '能力', '阶段性', '调整']"
819,极米科技,"['国内', '龙头', '地位', '稳固', '看好', '海外', '市场', '增长']","['国内', '龙头', '地位', '稳固', '看好', '海外', '市场', '增长']"
820,亿纬锂能,"['业务', '稳步', '推进', '资源', '端', '布局', '优化', '盈利']","['业务', '稳步', '推进', '资源', '端', '布局', '优化', '盈利']"
821,我武生物,"['利润', '增长', '符合', '预期', '散发', '疫情', '仍', '有', '扰动']","['利润', '增长', '符合', '预期', '散发', '疫情', '仍', '有', '扰动']"
822,扬农化工,"['内生', '与', '外延', '并举', '夯实', '龙头', '地位', '母公司', '赋能', '助力', '长期', '发展']","['内生', '与', '外延', '并举', '夯实', '龙头', '地位', '母公司', '赋能', '助力', '长期', '发展']"
823,国电电力,"['22H1', '火电', '电量', '正', '增长', '22Q3', '业绩', '有望', '持续', '好转']","['22H1', '火电', '电量', '正', '增长', '22Q3', '业绩', '有望', '持续', '好转']"
824,健民集团,"['中', '报', '业绩', '短期', '承压', '看好', '长期', '稳健', '盈利']","['中', '报', '业绩', '短期', '承压', '看好', '长期', '稳健', '盈利']"
825,水羊股份,"['接连', '收购', '海外', '品牌', '资源', '嫁接', '实现', '战略', '闭环']","['接连', '收购', '海外', '品牌', '资源', '嫁接', '实现', '战略', '闭环']"
826,隆平高科,"['转基因', '种业', '龙头', '整装', '再', '出发', '—', '—', '2022', '年', '半年报', '业绩', '预告', '点评']","['转基因', '种业', '龙头', '整装', '再', '出发', '—', '—', '2022', '年', '半年报', '业绩', '预告', '点评']"
827,华熙生物,"['Q2', '业绩', '超', '预期']","['Q2', '业绩', '超', '预期']"
828,我武生物,"['2022Q2', '业绩', '受', '疫情', '影响', '期待', '下半年', '恢复', '较', '快', '增长']","['2022Q2', '业绩', '受', '疫情', '影响', '期待', '下半年', '恢复', '较', '快', '增长']"
829,贵州茅台,"['茅台', '加速', '增长', '的', '源泉', '在', '哪里', '－', '茅台', '改革', '专题研究']","['茅台', '加速', '增长', '的', '源泉', '在', '哪里', '－', '茅台', '改革', '专题研究']"
830,喜临门,"['产品', '定位', '清晰', '渠道', '持续', '发力', '—', '—', '公司', '首次', '覆盖', '报告']","['产品', '定位', '清晰', '渠道', '持续', '发力', '—', '—', '公司', '首次', '覆盖', '报告']"
831,中炬高新,"['股权', '或迎', '变更', '经营', '持续', '向', '好']","['股权', '或迎', '变更', '经营', '持续', '向', '好']"
832,国电电力,"['火电', '电量', '降幅', '有限', '新能源', '转型', '提速']","['火电', '电量', '降幅', '有限', '新能源', '转型', '提速']"
833,健民集团,"['新', '股权', '激励', '政策', '落地', '业绩', '有望', '稳健', '增长']","['新', '股权', '激励', '政策', '落地', '业绩', '有望', '稳健', '增长']"
834,凯赛生物,"['股权', '激励', '方案', '落地', '生物', '基', '聚酰胺', '有望', '改变', '尼龙', '市场', '格局', '—', '—', '副标题', '居右', '小', '四', '，', '字号', '可以', '适当', '调整']","['股权', '激励', '方案', '落地', '生物', '基', '聚酰胺', '有望', '改变', '尼龙', '市场', '格局', '—', '—', '副标题', '居右', '小', '四', '，', '字号', '可以', '适当', '调整']"
835,华熙生物,"['功能性', '化妆品', '高增', '净', '利率', '降幅', '收窄']","['功能性', '化妆品', '高增', '净', '利率', '降幅', '收窄']"
836,芯原股份,"['1H22', '扭亏', '长期', '看好', '公司业绩', '成长']","['1H22', '扭亏', '长期', '看好', '公司业绩', '成长']"
837,江山欧派,"['渠道', '变革', '持续', '深化', '新', '零售', '业务', '营收', '毛利', '双', '提升']","['渠道', '变革', '持续', '深化', '新', '零售', '业务', '营收', '毛利', '双', '提升']"
838,穗恒运A,"['乘新能', '发展', '之势', '“', '穗', '”', '有', '成长']","['乘新能', '发展', '之势', '“', '穗', '”', '有', '成长']"
839,移为通信,"['Q2', '业绩', '高', '增长', '毛利率', '有望', '持续', '回升']","['Q2', '业绩', '高', '增长', '毛利率', '有望', '持续', '回升']"
840,麦澜德投,"['深耕', '盆底', '及', '产后', '康复', '领域', '磁', '刺激', '产品', '快速增长']","['深耕', '盆底', '及', '产后', '康复', '领域', '磁', '刺激', '产品', '快速增长']"
841,韵达股份,"['韵味', '已至', '达则', '功成']","['韵味', '已至', '达则', '功成']"
842,圆通速递,"['业绩', '稳步', '向前', '成长', '持续', '兑现']","['业绩', '稳步', '向前', '成长', '持续', '兑现']"
843,山东药玻,"['治理', '结构', '得到', '理顺', '高端', '包材', '放量', '在', '即']","['治理', '结构', '得到', '理顺', '高端', '包材', '放量', '在', '即']"
844,金开新能,"['装机容量', '快速', '扩张', '保障', '公司业绩', '增长']","['装机容量', '快速', '扩张', '保障', '公司业绩', '增长']"
845,自动化设,"['人形', '机器人', '迎', '产业化', '机遇', '建议', '关注', '核心', '零部件', '环节']","['人形', '机器人', '迎', '产业化', '机遇', '建议', '关注', '核心', '零部件', '环节']"
846,杭州银行,"['业绩', '增长', '强劲', '拨备', '稳居', '行业', '首位']","['业绩', '增长', '强劲', '拨备', '稳居', '行业', '首位']"
847,兴业科技,"['皮革', '产业', '深耕细作', '新能源', '车', '助力', '腾飞']","['皮革', '产业', '深耕细作', '新能源', '车', '助力', '腾飞']"
848,Phar,"['Sound', '_', 'revenue', '_', 'growth', '；', 'focus', '_', 'on', '_', 'the', '_', 'long', '_', 'term']","['Sound', '_', 'revenue', '_', 'growth', '；', 'focus', '_', 'on', '_', 'the', '_', 'long', '_', 'term']"
849,Huad,"['Remaining', '_', 'profitable', '_', 'despite', '_', 'high', '_', 'coal', '_', 'prices', '_', 'on', '_', 'investment', '_', 'income']","['Remaining', '_', 'profitable', '_', 'despite', '_', 'high', '_', 'coal', '_', 'prices', '_', 'on', '_', 'investment', '_', 'income']"
850,震安科技,"['行业', '大幅', '扩容', '在', '即', '地域', '拓展', '成长', '加速']","['行业', '大幅', '扩容', '在', '即', '地域', '拓展', '成长', '加速']"
851,姚记科技,"['疫情', '影响', '、', '游戏', '加码', '投入', '拖累', '短期', '业绩', '新', '业务', '成长', '可', '期']","['疫情', '影响', '、', '游戏', '加码', '投入', '拖累', '短期', '业绩', '新', '业务', '成长', '可', '期']"
852,北鼎股份,"['短期', '疫情', '扰动', '明显', '长期', '自主', '品牌', '发展', '不改']","['短期', '疫情', '扰动', '明显', '长期', '自主', '品牌', '发展', '不改']"
853,健民集团,"['业绩', '增长', '符合', '预期', '处方药', '产品线', '加速', '发力']","['业绩', '增长', '符合', '预期', '处方药', '产品线', '加速', '发力']"
854,巴比食品,"['2022H1', '预计', '扣非', '归母', '净利润', '同增', '56', '％', '－', '65', '％', '门店', '积极', '扩张', '有望', '带来', '业绩', '进一步', '改善']","['2022H1', '预计', '扣非', '归母', '净利润', '同增', '56', '％', '－', '65', '％', '门店', '积极', '扩张', '有望', '带来', '业绩', '进一步', '改善']"
855,苏泊尔,"['Q2', '收入', '短期', '承压', '盈利', '能力', '同比', '提升']","['Q2', '收入', '短期', '承压', '盈利', '能力', '同比', '提升']"
856,银轮股份,"['获得', '热', '管理', '定点', '预计', '下游', '客户', '需求', '复苏', '及', '成本', '下降', '将', '共同', '促进', '盈利', '能力', '提升']","['获得', '热', '管理', '定点', '预计', '下游', '客户', '需求', '复苏', '及', '成本', '下降', '将', '共同', '促进', '盈利', '能力', '提升']"
857,首旅酒店,"['短期', '业绩', '承压', '静待', '后续', '复苏']","['短期', '业绩', '承压', '静待', '后续', '复苏']"
858,山东药玻,"['控股权', '终止', '变更', '再', '成长', '确定性', '提升']","['控股权', '终止', '变更', '再', '成长', '确定性', '提升']"
859,锦江酒店,"['境外', '复苏', '正', '当时', '境内', '曙光', '或', '将', '至']","['境外', '复苏', '正', '当时', '境内', '曙光', '或', '将', '至']"
860,健民集团,"['业绩', '基本', '符合', '预期', '多重', '催化', '下', '有望', '回归', '正轨']","['业绩', '基本', '符合', '预期', '多重', '催化', '下', '有望', '回归', '正轨']"
861,江山欧派,"['基数', '压力', '释放', '零售', '渠道', '值得', '期待']","['基数', '压力', '释放', '零售', '渠道', '值得', '期待']"
862,苏泊尔,"['短期', '疫情', '扰动', '静待', '需求', '回暖']","['短期', '疫情', '扰动', '静待', '需求', '回暖']"
863,中炬高新,"['管理', '边际', '改善', '触底', '反弹', '可', '期']","['管理', '边际', '改善', '触底', '反弹', '可', '期']"
864,三联虹普,"['国内', '领先', '高分子', '材料', '服务商', '锦纶', '＋', '再生', '双极', '驱动', '，', '技术', '引领', '实力', '护航']","['国内', '领先', '高分子', '材料', '服务商', '锦纶', '＋', '再生', '双极', '驱动', '，', '技术', '引领', '实力', '护航']"
865,英搏尔,"['定增', '落地', '助力', '产能', '提升', '盈利', '能力', '环比', '修复']","['定增', '落地', '助力', '产能', '提升', '盈利', '能力', '环比', '修复']"
866,益丰药房,"['控股', '德顺', '堂', '积极', '拓展', '华北', '扩张', '战略', '稳健', '推进']","['控股', '德顺', '堂', '积极', '拓展', '华北', '扩张', '战略', '稳健', '推进']"
867,硅宝科技,"['有机', '硅胶', '行业龙头', '硅基', '负极', '业务', '打造', '全新', '增长极', '（', '更新版', '）']","['有机', '硅胶', '行业龙头', '硅基', '负极', '业务', '打造', '全新', '增长极', '（', '更新版', '）']"
868,牧高笛,"['露营', '装备', '龙头', '业绩', '连续', '高', '增长']","['露营', '装备', '龙头', '业绩', '连续', '高', '增长']"
869,华电国际,"['燃料', '成本', '环比', '改善', '扣非', '业绩', '实现', '正', '增长', '（', '更新', '）']","['燃料', '成本', '环比', '改善', '扣非', '业绩', '实现', '正', '增长', '（', '更新', '）']"
870,坚朗五金,"['逆境', '布局', '全面', '拓展', '蓄势', '下', '一轮', '增长']","['逆境', '布局', '全面', '拓展', '蓄势', '下', '一轮', '增长']"
871,中炬高新,"['二', '股东', '增持', '治理', '有望', '破局']","['二', '股东', '增持', '治理', '有望', '破局']"
872,佛山照明,"['照明', '为', '核稳', '基础', '车灯', '为翼拓', '空间']","['照明', '为', '核稳', '基础', '车灯', '为翼拓', '空间']"
873,分众传媒,"['再论', '电梯', '广告', '龙头', '的', '安全', '边际', '和', '长期', '空间']","['再论', '电梯', '广告', '龙头', '的', '安全', '边际', '和', '长期', '空间']"
874,峰岹科技,"['直流', '无刷电机', '驱动', '控制', '芯片', '专家']","['直流', '无刷电机', '驱动', '控制', '芯片', '专家']"
875,An_H,"['Profit', '_', 'growth', '_', 'in', '_', '1H22', '_', 'due', '_', 'to', '_', 'electricity', '_', 'tariff', '_', 'adjustment']","['Profit', '_', 'growth', '_', 'in', '_', '1H22', '_', 'due', '_', 'to', '_', 'electricity', '_', 'tariff', '_', 'adjustment']"
876,江山欧派,"['工程', '直营', '承压', '渠道', '变革', '提速']","['工程', '直营', '承压', '渠道', '变革', '提速']"
877,郑煤机事,"['参与', '洛轴', '混改', '落地', '高端', '轴承', '布局', '打造', '新', '增长点']","['参与', '洛轴', '混改', '落地', '高端', '轴承', '布局', '打造', '新', '增长点']"
878,天能重工,"['海陆', '产能', '加速', '扩张', '发电', '开启', '第二', '成长', '曲线']","['海陆', '产能', '加速', '扩张', '发电', '开启', '第二', '成长', '曲线']"
879,天孚通信,"['业绩', '符合', '预期', '数通', '领域', '需求', '构筑', '增长', '驱动力']","['业绩', '符合', '预期', '数通', '领域', '需求', '构筑', '增长', '驱动力']"
880,中材国际,"['新', '签订', '单', '总额', '恢复', '增长', '境内', '订单', '恢复', '明显']","['新', '签订', '单', '总额', '恢复', '增长', '境内', '订单', '恢复', '明显']"
